3 3 0 GHHHL.GBEELFDBAALFDB...F....KK.IICC. I99 C99 K99
3 3 0 GHHHL.GBEELFDBAALFDB...F....KK.II.CC I99 C98 K99
3 3 0 GHHHL.GBEELFDBAALFDB...F....KK..IICC I98 C98 K99
3 3 0 GHHHL.GBEELF.BAALF.B...FD..KK.DIICC. D98 I99 C99
3 3 0 GHHHL.GBEELF.BAALF.B...FD..KK.DII.CC D98 I99 C98
3 3 0 GHHHL.G.EELFD.AALFDB...F.B.KK..BIICC B98 I98 C98
3 3 0 GHHHL.GBEELF.BAALF.B...FD..KK.D.IICC D98 I98 C98
4 4 0 GBHHHFGBEELFDBAALFD...L....KK.IICC.. F7 B99 H99 L99
4 4 0 GBHHH.GBEEL.DBAALFD...LF...KKFIICC.. F7 B99 H99 L99
4 4 0 GBHHH.GBEEL.DBAAL.D...LF...KKFIICC.F F6 B99 H99 L99
4 4 0 GBHHH.GBEELF.BAALFD...LFD..KK.IICC.. D99 B99 H99 L99
4 4 0 GBHHH.GBEELFDBAALFD...LF..KK..IICC.. K99 B99 H99 L99
4 4 0 GBHHH.GBEELFDBAALFD...LF.KK...IICC.. K98 B99 H99 L99
4 4 0 GBHHH.GBEELFDBAALFD...LFKK....IICC.. K97 B99 H99 L99
4 4 0 GBHHH.GBEELFDBAALFD...LF....KKIICC.. K99 B99 H99 L99
4 4 0 GBHHH.GBEELFDBAALFD...LF...KK.II.CC. C99 B99 H99 L99
4 4 0 GBHHH.GBEELFDBAALFD...LF...KK.II..CC C98 B99 H99 L99
4 4 0 G.HHH.GEE.LFDBAALFDB..LF.B.KK.IICC.. E99 B99 H99 L99
4 4 0 G.HHHFG.EELFDBAALFDB..L..B.KK.IICC.. F7 B99 H99 L99
4 4 0 G.HHH.G.EEL.DBAALFDB..LF.B.KKFIICC.. F7 B99 H99 L99
4 4 0 G.HHH.G.EEL.DBAAL.DB..LF.B.KKFIICC.F F6 B99 H99 L99
4 4 0 G.HHH.G.EELF.BAALFDB..LFDB.KK.IICC.. D99 B99 H99 L99
4 4 0 G.HHH.G.EELFDBAALFDB..LF.BKK..IICC.. K99 B99 H99 L99
4 4 0 G.HHH.G.EELFDBAALFDB..LF.B..KKIICC.. K99 B99 H99 L99
4 4 0 G.HHH.G.EELFDBAALFDB..LF.B.KK.II.CC. C99 B99 H99 L99
4 4 0 G.HHH.G.EELFDBAALFDB..LF.B.KK.II..CC C98 B99 H99 L99
